"start_time" "duration" "trial" "blocktrial" "faces_stim"
0 6.015 1 1 "im1_3fs__im2_2mh__im3_11fh__im4_1ms__im5_10mh__im6_15fs__im7_8fh__im8_7fs__im9_12fh__im10_5mh__im11_13ms__im12_9ms__im13_6mh__im14_14ms__im15_16fh__im16_4fs__"
10.063 6.013 2 2 "im1_9mh__im2_3fh__im3_15fh__im4_1mh__im5_8fs__im6_5ms__im7_11fs__im8_2ms__im9_14mh__im10_13mh__im11_7fh__im12_10ms__im13_12fs__im14_6ms__im15_16fs__im16_4fh__"
20.055 6.016 3 3 "im1_2ms__im2_1mh__im3_3fh__im4_11fs__im5_9mh__im6_13mh__im7_5ms__im8_10ms__im9_7fh__im10_8fs__im11_15fh__im12_12fs__im13_14mh__im14_4fh__im15_6ms__im16_16fs__"
30.049 6.017 4 4 "im1_2mh__im2_3fs__im3_16fh__im4_9ms__im5_12fh__im6_5mh__im7_7fs__im8_4fs__im9_10mh__im10_13ms__im11_11fh__im12_15fs__im13_1ms__im14_8fh__im15_6mh__im16_14ms__"
40.045 6.016 5 5 "im1_10mh__im2_8fh__im3_12fh__im4_7fs__im5_9ms__im6_6mh__im7_16fh__im8_2mh__im9_3fs__im10_1ms__im11_4fs__im12_14ms__im13_13ms__im14_11fh__im15_5mh__im16_15fs__"
50.034 6.005 6 6 "im1_8fs__im2_10ms__im3_7fh__im4_14mh__im5_2ms__im6_6ms__im7_1mh__im8_16fs__im9_4fh__im10_12fs__im11_3fh__im12_9mh__im13_11fs__im14_5ms__im15_15fh__im16_13mh__"
60.003 6.014 7 7 "im1_4fh__im2_11fs__im3_1mh__im4_5ms__im5_13mh__im6_15fh__im7_10ms__im8_12fs__im9_3fh__im10_9mh__im11_8fs__im12_6ms__im13_16fs__im14_2ms__im15_7fh__im16_14mh__"
69.978 6.017 8 8 "im1_6mh__im2_15fs__im3_9ms__im4_16fh__im5_8fh__im6_2mh__im7_11fh__im8_13ms__im9_4fs__im10_14ms__im11_7fs__im12_5mh__im13_12fh__im14_10mh__im15_3fs__im16_1ms__"
79.958 6.015 9 9 "im1_11fh__im2_1ms__im3_5mh__im4_4fs__im5_3fs__im6_9ms__im7_10mh__im8_12fh__im9_13ms__im10_8fh__im11_15fs__im12_6mh__im13_2mh__im14_16fh__im15_14ms__im16_7fs__"
89.936 6.015 10 10 "im1_6ms__im2_16fs__im3_8fs__im4_9mh__im5_15fh__im6_7fh__im7_13mh__im8_14mh__im9_2ms__im10_11fs__im11_5ms__im12_4fh__im13_1mh__im14_10ms__im15_3fh__im16_12fs__"
99.915 6.014 11 11 "im1_14mh__im2_5ms__im3_4fh__im4_16fs__im5_6ms__im6_10ms__im7_9mh__im8_15fh__im9_13mh__im10_3fh__im11_12fs__im12_8fs__im13_2ms__im14_11fs__im15_1mh__im16_7fh__"
